source,task,condition,offer_amount,agent_index,rank,feature_label,activation
lottery,safe_risky_choice,baseline,10,1,7,Professional courtesy and willingness to help in formal exchanges,18.0
lottery,safe_risky_choice,baseline,10,1,8,Section breaks and formatting elements in structured training data,17.0
lottery,safe_risky_choice,baseline,10,1,9,Introducing potential risks or possibilities in explanatory contexts,15.0
lottery,safe_risky_choice,baseline,10,1,10,Task list entries involving children's scheduled activities,14.0
lottery,safe_risky_choice,baseline,10,2,1,Probability-based decision making scenarios with explicit numerical comparisons,90.0
lottery,safe_risky_choice,baseline,10,2,2,The assistant should select between provided options,50.0
lottery,safe_risky_choice,baseline,10,2,3,Technical setup and configuration states in experimental procedures,33.0
lottery,safe_risky_choice,baseline,10,2,4,The assistant is providing analytical descriptions or explanations,21.0
lottery,safe_risky_choice,baseline,10,2,5,Rational choice theory and utility maximization in formal decision-making,19.0
lottery,safe_risky_choice,baseline,10,2,6,Economic tradeoffs and payoff structures in social contexts,19.0
lottery,safe_risky_choice,baseline,10,2,7,Professional courtesy and willingness to help in formal exchanges,18.0
lottery,safe_risky_choice,baseline,10,2,8,Section breaks and formatting elements in structured training data,17.0
lottery,safe_risky_choice,baseline,10,2,9,Introducing potential risks or possibilities in explanatory contexts,15.0
lottery,safe_risky_choice,baseline,10,2,10,Task list entries involving children's scheduled activities,14.0
lottery,safe_risky_choice,baseline,10,3,1,Probability-based decision making scenarios with explicit numerical comparisons,118.0
lottery,safe_risky_choice,baseline,10,3,2,The assistant should select between provided options,50.0
lottery,safe_risky_choice,baseline,10,3,3,Technical setup and configuration states in experimental procedures,33.0
lottery,safe_risky_choice,baseline,10,3,4,Professional courtesy and willingness to help in formal exchanges,21.0
lottery,safe_risky_choice,baseline,10,3,5,Rational choice theory and utility maximization in formal decision-making,19.0
lottery,safe_risky_choice,baseline,10,3,6,Numbers and operators in structured data formats,18.0
lottery,safe_risky_choice,baseline,10,3,7,Section breaks and formatting elements in structured training data,17.0
lottery,safe_risky_choice,baseline,10,3,8,Economic tradeoffs and payoff structures in social contexts,16.0
lottery,safe_risky_choice,baseline,10,3,9,Introducing potential risks or possibilities in explanatory contexts,15.0
lottery,safe_risky_choice,baseline,10,3,10,Task list entries involving children's scheduled activities,14.0
lottery,safe_risky_choice,baseline,10,4,1,Probability-based decision making scenarios with explicit numerical comparisons,87.0
lottery,safe_risky_choice,baseline,10,4,2,The assistant should select between provided options,51.0
lottery,safe_risky_choice,baseline,10,4,3,Technical setup and configuration states in experimental procedures,33.0
lottery,safe_risky_choice,baseline,10,4,4,Rational choice theory and utility maximization in formal decision-making,19.0
lottery,safe_risky_choice,baseline,10,4,5,Section breaks and formatting elements in structured training data,17.0
lottery,safe_risky_choice,baseline,10,4,6,Economic tradeoffs and payoff structures in social contexts,15.0
lottery,safe_risky_choice,baseline,10,4,7,Introducing potential risks or possibilities in explanatory contexts,15.0
lottery,safe_risky_choice,baseline,10,4,8,Professional courtesy and willingness to help in formal exchanges,15.0
lottery,safe_risky_choice,baseline,10,4,9,The assistant is providing analytical descriptions or explanations,15.0
lottery,safe_risky_choice,baseline,10,4,10,Task list entries involving children's scheduled activities,14.0
lottery,safe_risky_choice,baseline,10,5,1,Probability-based decision making scenarios with explicit numerical comparisons,90.0
lottery,safe_risky_choice,baseline,10,5,2,The assistant should select between provided options,50.0
lottery,safe_risky_choice,baseline,10,5,3,Technical setup and configuration states in experimental procedures,33.0
lottery,safe_risky_choice,baseline,10,5,4,The assistant is providing analytical descriptions or explanations,21.0
lottery,safe_risky_choice,baseline,10,5,5,Rational choice theory and utility maximization in formal decision-making,19.0
lottery,safe_risky_choice,baseline,10,5,6,Economic tradeoffs and payoff structures in social contexts,19.0
lottery,safe_risky_choice,baseline,10,5,7,Professional courtesy and willingness to help in formal exchanges,18.0
lottery,safe_risky_choice,baseline,10,5,8,Section breaks and formatting elements in structured training data,17.0
lottery,safe_risky_choice,baseline,10,5,9,Introducing potential risks or possibilities in explanatory contexts,15.0
lottery,safe_risky_choice,baseline,10,5,10,Task list entries involving children's scheduled activities,14.0
lottery,safe_risky_choice,baseline,10,6,1,Probability-based decision making scenarios with explicit numerical comparisons,116.0
lottery,safe_risky_choice,baseline,10,6,2,The assistant should select between provided options,50.0
lottery,safe_risky_choice,baseline,10,6,3,Technical setup and configuration states in experimental procedures,33.0
lottery,safe_risky_choice,baseline,10,6,4,Professional courtesy and willingness to help in formal exchanges,23.0
lottery,safe_risky_choice,baseline,10,6,5,Rational choice theory and utility maximization in formal decision-making,21.0
lottery,safe_risky_choice,baseline,10,6,6,Numbers and operators in structured data formats,20.0
lottery,safe_risky_choice,baseline,10,6,7,Task list entries involving children's scheduled activities,17.0
lottery,safe_risky_choice,baseline,10,6,8,Section breaks and formatting elements in structured training data,17.0
lottery,safe_risky_choice,baseline,10,6,9,Explanatory text about complex ecological and social systems,16.0
lottery,safe_risky_choice,baseline,10,6,10,Economic tradeoffs and payoff structures in social contexts,15.0
lottery,safe_risky_choice,baseline,10,7,1,Probability-based decision making scenarios with explicit numerical comparisons,87.0
lottery,safe_risky_choice,baseline,10,7,2,The assistant should select between provided options,51.0
lottery,safe_risky_choice,baseline,10,7,3,Technical setup and configuration states in experimental procedures,33.0
lottery,safe_risky_choice,baseline,10,7,4,Rational choice theory and utility maximization in formal decision-making,19.0
lottery,safe_risky_choice,baseline,10,7,5,Section breaks and formatting elements in structured training data,17.0
lottery,safe_risky_choice,baseline,10,7,6,Economic tradeoffs and payoff structures in social contexts,15.0
lottery,safe_risky_choice,baseline,10,7,7,Introducing potential risks or possibilities in explanatory contexts,15.0
lottery,safe_risky_choice,baseline,10,7,8,Professional courtesy and willingness to help in formal exchanges,15.0
lottery,safe_risky_choice,baseline,10,7,9,The assistant is providing analytical descriptions or explanations,15.0
lottery,safe_risky_choice,baseline,10,7,10,Task list entries involving children's scheduled activities,14.0
lottery,safe_risky_choice,baseline,10,8,1,Probability-based decision making scenarios with explicit numerical comparisons,90.0
lottery,safe_risky_choice,baseline,10,8,2,The assistant should select between provided options,50.0
lottery,safe_risky_choice,baseline,10,8,3,Technical setup and configuration states in experimental procedures,33.0
lottery,safe_risky_choice,baseline,10,8,4,The assistant is providing analytical descriptions or explanations,21.0
lottery,safe_risky_choice,baseline,10,8,5,Rational choice theory and utility maximization in formal decision-making,19.0
lottery,safe_risky_choice,baseline,10,8,6,Economic tradeoffs and payoff structures in social contexts,19.0
lottery,safe_risky_choice,baseline,10,8,7,Professional courtesy and willingness to help in formal exchanges,18.0
lottery,safe_risky_choice,baseline,10,8,8,Section breaks and formatting elements in structured training data,17.0
lottery,safe_risky_choice,baseline,10,8,9,Introducing potential risks or possibilities in explanatory contexts,15.0
lottery,safe_risky_choice,baseline,10,8,10,Task list entries involving children's scheduled activities,14.0
lottery,safe_risky_choice,baseline,10,9,1,Probability-based decision making scenarios with explicit numerical comparisons,87.0
lottery,safe_risky_choice,baseline,10,9,2,The assistant should select between provided options,50.0
lottery,safe_risky_choice,baseline,10,9,3,Technical setup and configuration states in experimental procedures,33.0
lottery,safe_risky_choice,baseline,10,9,4,Rational choice theory and utility maximization in formal decision-making,19.0
lottery,safe_risky_choice,baseline,10,9,5,Section breaks and formatting elements in structured training data,17.0
lottery,safe_risky_choice,baseline,10,9,6,The assistant is providing analytical descriptions or explanations,16.0
lottery,safe_risky_choice,baseline,10,9,7,Economic tradeoffs and payoff structures in social contexts,15.0
lottery,safe_risky_choice,baseline,10,9,8,Introducing potential risks or possibilities in explanatory contexts,15.0
lottery,safe_risky_choice,baseline,10,9,9,Professional courtesy and willingness to help in formal exchanges,15.0
lottery,safe_risky_choice,baseline,10,9,10,Task list entries involving children's scheduled activities,14.0
lottery,safe_risky_choice,baseline,10,10,1,Probability-based decision making scenarios with explicit numerical comparisons,90.0
lottery,safe_risky_choice,baseline,10,10,2,The assistant should select between provided options,50.0
lottery,safe_risky_choice,baseline,10,10,3,Technical setup and configuration states in experimental procedures,33.0
lottery,safe_risky_choice,baseline,10,10,4,The assistant is providing analytical descriptions or explanations,21.0
lottery,safe_risky_choice,baseline,10,10,5,Rational choice theory and utility maximization in formal decision-making,19.0
lottery,safe_risky_choice,baseline,10,10,6,Economic tradeoffs and payoff structures in social contexts,19.0
lottery,safe_risky_choice,baseline,10,10,7,Professional courtesy and willingness to help in formal exchanges,18.0
lottery,safe_risky_choice,baseline,10,10,8,Section breaks and formatting elements in structured training data,17.0
lottery,safe_risky_choice,baseline,10,10,9,Introducing potential risks or possibilities in explanatory contexts,15.0
lottery,safe_risky_choice,baseline,10,10,10,Task list entries involving children's scheduled activities,14.0
lottery,safe_risky_choice,baseline,10,11,1,Probability-based decision making scenarios with explicit numerical comparisons,90.0
lottery,safe_risky_choice,baseline,10,11,2,The assistant should select between provided options,50.0
lottery,safe_risky_choice,baseline,10,11,3,Technical setup and configuration states in experimental procedures,33.0
lottery,safe_risky_choice,baseline,10,11,4,The assistant is providing analytical descriptions or explanations,21.0
lottery,safe_risky_choice,baseline,10,11,5,Rational choice theory and utility maximization in formal decision-making,19.0
lottery,safe_risky_choice,baseline,10,11,6,Economic tradeoffs and payoff structures in social contexts,19.0
lottery,safe_risky_choice,baseline,10,11,7,Professional courtesy and willingness to help in formal exchanges,18.0
lottery,safe_risky_choice,baseline,10,11,8,Section breaks and formatting elements in structured training data,17.0
lottery,safe_risky_choice,baseline,10,11,9,Introducing potential risks or possibilities in explanatory contexts,15.0
lottery,safe_risky_choice,baseline,10,11,10,Task list entries involving children's scheduled activities,14.0
lottery,safe_risky_choice,baseline,10,12,1,Probability-based decision making scenarios with explicit numerical comparisons,90.0
lottery,safe_risky_choice,baseline,10,12,2,The assistant should select between provided options,50.0
lottery,safe_risky_choice,baseline,10,12,3,Technical setup and configuration states in experimental procedures,33.0
lottery,safe_risky_choice,baseline,10,12,4,The assistant is providing analytical descriptions or explanations,21.0
lottery,safe_risky_choice,baseline,10,12,5,Rational choice theory and utility maximization in formal decision-making,19.0
lottery,safe_risky_choice,baseline,10,12,6,Economic tradeoffs and payoff structures in social contexts,19.0
lottery,safe_risky_choice,baseline,10,12,7,Professional courtesy and willingness to help in formal exchanges,18.0
lottery,safe_risky_choice,baseline,10,12,8,Section breaks and formatting elements in structured training data,17.0
lottery,safe_risky_choice,baseline,10,12,9,Introducing potential risks or possibilities in explanatory contexts,15.0
lottery,safe_risky_choice,baseline,10,12,10,Task list entries involving children's scheduled activities,14.0
lottery,safe_risky_choice,baseline,10,13,1,Probability-based decision making scenarios with explicit numerical comparisons,90.0
lottery,safe_risky_choice,baseline,10,13,2,The assistant should select between provided options,50.0
lottery,safe_risky_choice,baseline,10,13,3,Technical setup and configuration states in experimental procedures,33.0
lottery,safe_risky_choice,baseline,10,13,4,The assistant is providing analytical descriptions or explanations,21.0
lottery,safe_risky_choice,baseline,10,13,5,Rational choice theory and utility maximization in formal decision-making,19.0
lottery,safe_risky_choice,baseline,10,13,6,Economic tradeoffs and payoff structures in social contexts,19.0
lottery,safe_risky_choice,baseline,10,13,7,Professional courtesy and willingness to help in formal exchanges,18.0
lottery,safe_risky_choice,baseline,10,13,8,Section breaks and formatting elements in structured training data,17.0
lottery,safe_risky_choice,baseline,10,13,9,Introducing potential risks or possibilities in explanatory contexts,15.0
lottery,safe_risky_choice,baseline,10,13,10,Task list entries involving children's scheduled activities,14.0
lottery,safe_risky_choice,baseline,10,14,1,Probability-based decision making scenarios with explicit numerical comparisons,90.0
lottery,safe_risky_choice,baseline,10,14,2,The assistant should select between provided options,50.0
lottery,safe_risky_choice,baseline,10,14,3,Technical setup and configuration states in experimental procedures,33.0
lottery,safe_risky_choice,baseline,10,14,4,The assistant is providing analytical descriptions or explanations,21.0
lottery,safe_risky_choice,baseline,10,14,5,Rational choice theory and utility maximization in formal decision-making,19.0
lottery,safe_risky_choice,baseline,10,14,6,Economic tradeoffs and payoff structures in social contexts,19.0
lottery,safe_risky_choice,baseline,10,14,7,Professional courtesy and willingness to help in formal exchanges,18.0
lottery,safe_risky_choice,baseline,10,14,8,Section breaks and formatting elements in structured training data,17.0
lottery,safe_risky_choice,baseline,10,14,9,Introducing potential risks or possibilities in explanatory contexts,15.0
lottery,safe_risky_choice,baseline,10,14,10,Task list entries involving children's scheduled activities,14.0
lottery,safe_risky_choice,baseline,10,15,1,Probability-based decision making scenarios with explicit numerical comparisons,87.0
lottery,safe_risky_choice,baseline,10,15,2,The assistant should select between provided options,51.0
lottery,safe_risky_choice,baseline,10,15,3,Technical setup and configuration states in experimental procedures,33.0
lottery,safe_risky_choice,baseline,10,15,4,Rational choice theory and utility maximization in formal decision-making,19.0
lottery,safe_risky_choice,baseline,10,15,5,Section breaks and formatting elements in structured training data,17.0
lottery,safe_risky_choice,baseline,10,15,6,Economic tradeoffs and payoff structures in social contexts,15.0
lottery,safe_risky_choice,baseline,10,15,7,Introducing potential risks or possibilities in explanatory contexts,15.0
lottery,safe_risky_choice,baseline,10,15,8,Professional courtesy and willingness to help in formal exchanges,15.0
lottery,safe_risky_choice,baseline,10,15,9,The assistant is providing analytical descriptions or explanations,15.0
lottery,safe_risky_choice,baseline,10,15,10,Task list entries involving children's scheduled activities,14.0
lottery,safe_risky_choice,baseline,10,16,1,Probability-based decision making scenarios with explicit numerical comparisons,90.0
lottery,safe_risky_choice,baseline,10,16,2,The assistant should select between provided options,49.0
lottery,safe_risky_choice,baseline,10,16,3,Technical setup and configuration states in experimental procedures,33.0
lottery,safe_risky_choice,baseline,10,16,4,Rational choice theory and utility maximization in formal decision-making,20.0
lottery,safe_risky_choice,baseline,10,16,5,Economic tradeoffs and payoff structures in social contexts,19.0
lottery,safe_risky_choice,baseline,10,16,6,Professional courtesy and willingness to help in formal exchanges,18.0
lottery,safe_risky_choice,baseline,10,16,7,Section breaks and formatting elements in structured training data,17.0
lottery,safe_risky_choice,baseline,10,16,8,Introducing potential risks or possibilities in explanatory contexts,15.0
lottery,safe_risky_choice,baseline,10,16,9,The assistant is providing analytical descriptions or explanations,15.0
lottery,safe_risky_choice,baseline,10,16,10,Task list entries involving children's scheduled activities,14.0
lottery,safe_risky_choice,baseline,10,17,1,Probability-based decision making scenarios with explicit numerical comparisons,117.0
lottery,safe_risky_choice,baseline,10,17,2,The assistant should select between provided options,50.0
lottery,safe_risky_choice,baseline,10,17,3,Technical setup and configuration states in experimental procedures,33.0
lottery,safe_risky_choice,baseline,10,17,4,Professional courtesy and willingness to help in formal exchanges,21.0
lottery,safe_risky_choice,baseline,10,17,5,Rational choice theory and utility maximization in formal decision-making,19.0
lottery,safe_risky_choice,baseline,10,17,6,Numbers and operators in structured data formats,19.0
lottery,safe_risky_choice,baseline,10,17,7,Section breaks and formatting elements in structured training data,17.0
lottery,safe_risky_choice,baseline,10,17,8,Economic tradeoffs and payoff structures in social contexts,16.0
lottery,safe_risky_choice,baseline,10,17,9,Task list entries involving children's scheduled activities,15.0
lottery,safe_risky_choice,baseline,10,17,10,Introducing potential risks or possibilities in explanatory contexts,15.0
lottery,safe_risky_choice,baseline,10,18,1,Probability-based decision making scenarios with explicit numerical comparisons,90.0
lottery,safe_risky_choice,baseline,10,18,2,The assistant should select between provided options,50.0
lottery,safe_risky_choice,baseline,10,18,3,Technical setup and configuration states in experimental procedures,33.0
lottery,safe_risky_choice,baseline,10,18,4,The assistant is providing analytical descriptions or explanations,21.0
lottery,safe_risky_choice,baseline,10,18,5,Rational choice theory and utility maximization in formal decision-making,19.0
lottery,safe_risky_choice,baseline,10,18,6,Economic tradeoffs and payoff structures in social contexts,19.0
lottery,safe_risky_choice,baseline,10,18,7,Professional courtesy and willingness to help in formal exchanges,18.0
lottery,safe_risky_choice,baseline,10,18,8,Section breaks and formatting elements in structured training data,17.0
lottery,safe_risky_choice,baseline,10,18,9,Introducing potential risks or possibilities in explanatory contexts,15.0
lottery,safe_risky_choice,baseline,10,18,10,Task list entries involving children's scheduled activities,14.0
lottery,safe_risky_choice,baseline,10,19,1,Probability-based decision making scenarios with explicit numerical comparisons,90.0
lottery,safe_risky_choice,baseline,10,19,2,The assistant should select between provided options,50.0
lottery,safe_risky_choice,baseline,10,19,3,Technical setup and configuration states in experimental procedures,33.0
lottery,safe_risky_choice,baseline,10,19,4,The assistant is providing analytical descriptions or explanations,21.0
lottery,safe_risky_choice,baseline,10,19,5,Rational choice theory and utility maximization in formal decision-making,19.0
lottery,safe_risky_choice,baseline,10,19,6,Economic tradeoffs and payoff structures in social contexts,19.0
lottery,safe_risky_choice,baseline,10,19,7,Professional courtesy and willingness to help in formal exchanges,18.0
lottery,safe_risky_choice,baseline,10,19,8,Section breaks and formatting elements in structured training data,17.0
lottery,safe_risky_choice,baseline,10,19,9,Introducing potential risks or possibilities in explanatory contexts,15.0
lottery,safe_risky_choice,baseline,10,19,10,Task list entries involving children's scheduled activities,14.0
lottery,safe_risky_choice,baseline,10,20,1,Probability-based decision making scenarios with explicit numerical comparisons,90.0
lottery,safe_risky_choice,baseline,10,20,2,The assistant should select between provided options,50.0
lottery,safe_risky_choice,baseline,10,20,3,Technical setup and configuration states in experimental procedures,33.0
lottery,safe_risky_choice,baseline,10,20,4,The assistant is providing analytical descriptions or explanations,21.0
lottery,safe_risky_choice,baseline,10,20,5,Rational choice theory and utility maximization in formal decision-making,19.0
lottery,safe_risky_choice,baseline,10,20,6,Economic tradeoffs and payoff structures in social contexts,19.0
lottery,safe_risky_choice,baseline,10,20,7,Professional courtesy and willingness to help in formal exchanges,18.0
lottery,safe_risky_choice,baseline,10,20,8,Section breaks and formatting elements in structured training data,17.0
lottery,safe_risky_choice,baseline,10,20,9,Introducing potential risks or possibilities in explanatory contexts,15.0
lottery,safe_risky_choice,baseline,10,20,10,Task list entries involving children's scheduled activities,14.0
