variant,layer,game,a,b,cosine,abs_cosine,null_scale,multiples_of_null,d,gradient_source,duplicate_to_reconcile
reconstruction,50,lottery,diffmean,rand0,-0.00792,0.00792,0.01105,0.72,8192,,False
reconstruction,50,lottery,diffmean,rand1,-0.00147,0.00147,0.01105,0.13,8192,,False
reconstruction,50,lottery,diffmean,gradient,0.04789,0.04789,0.01105,4.33,8192,cv_bench/g4b.py friday-session,True
reconstruction,50,lottery,diffmean,gradient_both_orders,0.00551,0.00551,0.01105,0.5,8192,cv_bench/g4b.py friday-session,True
reconstruction,50,lottery,pca1,ridge_logn,0.1832,0.1832,0.01105,16.58,8192,,False
reconstruction,50,lottery,pca1,rand0,-0.00688,0.00688,0.01105,0.62,8192,,False
reconstruction,50,lottery,pca1,rand1,-0.00443,0.00443,0.01105,0.4,8192,,False
reconstruction,50,lottery,pca1,gradient,0.04086,0.04086,0.01105,3.7,8192,cv_bench/g4b.py friday-session,True
reconstruction,50,lottery,pca1,gradient_both_orders,0.00936,0.00936,0.01105,0.85,8192,cv_bench/g4b.py friday-session,True
reconstruction,50,lottery,ridge_logn,rand0,-0.01138,0.01138,0.01105,1.03,8192,,False
reconstruction,50,lottery,ridge_logn,rand1,-0.0023,0.0023,0.01105,0.21,8192,,False
reconstruction,50,lottery,ridge_logn,gradient,0.00365,0.00365,0.01105,0.33,8192,cv_bench/g4b.py friday-session,True
reconstruction,50,lottery,ridge_logn,gradient_both_orders,-0.00763,0.00763,0.01105,0.69,8192,cv_bench/g4b.py friday-session,True
reconstruction,50,lottery,rand0,rand1,0.00878,0.00878,0.01105,0.79,8192,,False
reconstruction,50,lottery,rand0,gradient,0.00748,0.00748,0.01105,0.68,8192,cv_bench/g4b.py friday-session,True
reconstruction,50,lottery,rand0,gradient_both_orders,0.01456,0.01456,0.01105,1.32,8192,cv_bench/g4b.py friday-session,True
reconstruction,50,lottery,rand1,gradient,0.01013,0.01013,0.01105,0.92,8192,cv_bench/g4b.py friday-session,True
reconstruction,50,lottery,rand1,gradient_both_orders,0.00536,0.00536,0.01105,0.49,8192,cv_bench/g4b.py friday-session,True
reconstruction,50,lottery,gradient,gradient_both_orders,0.64242,0.64242,0.01105,58.15,8192,cv_bench/g4b.py friday-session,True
